VillageName,Latitude,Longitude,Workers
Village_1,-5.990164292349438,-80.68891321505856,15
Village_2,-5.991306958312759,-80.61357749383671,14
Village_3,-6.001047935389993,-80.63147423575968,12
Village_4,-6.0391309398224,-80.67379175900797,12
Village_5,-6.038473719296747,-80.6548719978207,20
Village_6,-6.013888908669401,-80.70338964568018,19
Village_7,-6.036402303208812,-80.71912034185596,20
Village_8,-6.027552198404289,-80.69019335582475,18
Village_9,-6.011623589765604,-80.75323740931067,20
Village_10,-5.958283036724873,-80.68723727741522,11
Village_11,-6.045012692505296,-80.63462800894767,9
Village_12,-6.052453826172168,-80.72091910035455,16
Village_13,-6.015674861236897,-80.7348855464478,19
Village_14,-6.034323647528227,-80.73993851209626,6
Village_15,-6.0782559556961315,-80.62740038678211,10
Village_16,-5.998850010136085,-80.75167084704364,17
Village_17,-5.978076671000229,-80.6734315859405,12
Village_18,-5.9757233937750875,-80.5491994954364,18
Village_19,-6.065454267143255,-80.76116471067685,6
Village_20,-5.897962683294847,-80.62845074064913,13
Village_21,-5.997819085521576,-80.77015200776813,13
Village_22,-6.057170996167964,-80.70766627026985,13
Village_23,-5.985893860264348,-80.63761257702033,7
Village_24,-5.9911978706286515,-80.61681693658008,14
Village_25,-6.056960876161131,-80.69746061879256,11
Village_26,-6.023410254404954,-80.62376156772477,5
Village_27,-6.023886606063533,-80.70251916543431,12
Village_28,-5.967499730224641,-80.59567417657124,10
Village_29,-6.018600506079016,-80.6318233551054,9
Village_30,-6.061688142045602,-80.64278959061731,18
Village_31,-5.846385187318666,-80.72801954025337,19
Village_32,-6.022526692912989,-80.73027788359475,7
Village_33,-6.010647646588091,-80.6969503675233,8
Village_34,-5.92528595784957,-80.6529655229135,9
Village_35,-6.041720822683675,-80.75675269354072,15
Village_36,-5.933853975032931,-80.64081334615125,16
Village_37,-5.969229894114896,-80.66556244451702,16
Village_38,-6.035738231720273,-80.7519370440803,18
Village_39,-5.946406893322511,-80.67322233530226,16
Village_40,-5.978795837423706,-80.69478823184795,5
Village_41,-6.034605407656607,-80.75517574740661,8
Village_42,-6.08246949866165,-80.7329536392684,10
Village_43,-6.147758802378173,-80.66472410280556,9
Village_44,-6.069813289764068,-80.6362557839037,12
Village_45,-6.0230642855833,-80.66179745715928,20
Village_46,-6.119579983484363,-80.61881297346169,18
Village_47,-6.015927540225582,-80.76567523109951,5
Village_48,-6.0370883011613,-80.68620825425906,20
Village_49,-6.024618048239056,-80.66692263288333,6
